frame,molecule,x_nm,y_nm,z_nm,photons,background
88,1,26736.1783551094,-1593.20198241778,-1259.7,11233,52.788
89,1,26734.0578928101,-1581.89078694787,-1265.1,13795,52.581
90,1,26721.137219816,-1591.26891434863,-1260.4,11615,52.663
91,1,26726.0259559354,-1579.89864747962,-1242.2,18010,53.117
92,1,26736.081945326,-1583.93355904391,-1270.6,13304,52.629
93,1,26718.1975508256,-1597.47317957844,-1251.7,12992,52.745
94,1,26736.0390965334,-1579.81425976663,-1257.6,13847,53.115
95,1,26730.127621958,-1589.1333157683,-1250.4,15652,53.116
96,1,26735.1449044552,-1590.12094673112,-1259.3,14813,52.688
97,1,26722.1813826685,-1595.37977485461,-1246.3,16242,52.691
98,1,26731.0539506307,-1581.91610326176,-1246.3,14927,52.654
99,1,26732.1409622757,-1590.14626304502,-1230.2,17350,52.994
100,1,26734.1328781972,-1589.0995606831,-1249.7,19479,52.954
101,1,26727.1986651657,-1596.36740581743,-1254.4,16882,52.657
102,1,26733.0565787503,-1581.89922571917,-1257.9,14670,52.687
103,1,26723.0862869449,-1586.10291270944,-1260.3,16652,52.673
104,1,26726.0473803317,-1581.95829711826,-1232.2,14218,52.643
105,1,26722.0849728851,-1586.11135148074,-1240.5,15999,52.675
106,1,26730.0312121746,-1579.86489239443,-1240.6,17998,53.07
107,1,26722.1171094795,-1589.20082593869,-1224.7,14797,52.657
108,1,26738.041724653,-1579.79738222403,-1249.3,20390,52.937
109,1,26721.0622344289,-1584.0601406134,-1228.4,19060,52.945
110,1,26732.0445524923,-1580.87783967115,-1229.8,16624,53.08
111,1,26732.087401285,-1584.99713894842,-1264,14657,52.686
112,1,26723.0648625486,-1584.0432630708,-1244.8,16099,52.965
113,1,26736.0069599389,-1576.72478530868,-1258.5,18606,52.712
114,1,26709.1107389002,-1590.3403547849,-1236,12485,52.659
115,1,26738.9466289294,-1570.52052007886,-1236.7,12451,53.19
116,1,26727.9428864697,-1571.64317138247,-1222,14804,53.134
117,1,26724.0126156176,-1578.88570020291,-1254.7,17076,52.679
118,1,26727.0701187878,-1584.0095079856,-1200.4,12748,52.995
119,1,26732.0445524923,-1580.87783967115,-1230.3,17738,53.023
120,1,26712.9553121671,-1574.85922740992,-1239.3,16460,53.096
121,1,26716.0770885262,-1586.16198410853,-1238.1,15873,52.688
122,1,26731.9481427089,-1571.60941629728,-1259.7,15312,52.907
123,1,26725.9295461519,-1570.63022410576,-1234.3,18177,52.982
124,1,26735.0163580773,-1577.76304889929,-1201,12517,53.083
125,1,26709.9513699877,-1574.88454372382,-1221.3,17232,52.727
126,1,26740.8956960583,-1565.35451843967,-1219.9,19437,53.065
127,1,26727.0058455988,-1577.83055906969,-1250,15465,52.968
128,1,26714.1065970011,-1589.26833610909,-1231,14322,52.65
129,1,26725.9616827464,-1573.71969856371,-1227.5,12976,52.584
130,1,26725.9723949446,-1574.74952338303,-1238.6,16402,52.798
131,1,26733.0887153448,-1584.98870017712,-1240.1,20014,53.091
132,1,26723.096999143,-1587.13273752875,-1246.4,23122,52.728
133,1,26728.028584055,-1579.88176993702,-1235.4,19341,52.798
