frame num,molecule num,x (nm),y (nm),z (nm),x fid-corrected (nm),y fid-corrected (nm), z fid-corrected (nm),photons detected,mean background photons
91,1,26149,10625,-1242.2,NaN,NaN,NaN,18010,53.117
92,1,26159,10621,-1270.6,NaN,NaN,NaN,13304,52.629
93,1,26141,10608,-1251.7,NaN,NaN,NaN,12992,52.745
94,1,26159,10625,-1257.6,NaN,NaN,NaN,13847,53.115
95,1,26153,10616,-1250.4,NaN,NaN,NaN,15652,53.116
96,1,26158,10615,-1259.3,NaN,NaN,NaN,14813,52.688
97,1,26145,10610,-1246.3,NaN,NaN,NaN,16242,52.691
98,1,26154,10623,-1246.3,NaN,NaN,NaN,14927,52.654
99,1,26155,10615,-1230.2,NaN,NaN,NaN,17350,52.994
100,1,26157,10616,-1249.7,NaN,NaN,NaN,19479,52.954
101,1,26150,10609,-1254.4,NaN,NaN,NaN,16882,52.657
102,1,26156,10623,-1257.9,NaN,NaN,NaN,14670,52.687
103,1,26146,10619,-1260.3,NaN,NaN,NaN,16652,52.673
104,1,26149,10623,-1232.2,NaN,NaN,NaN,14218,52.643
105,1,26145,10619,-1240.5,NaN,NaN,NaN,15999,52.675
106,1,26153,10625,-1240.6,NaN,NaN,NaN,17998,53.07
107,1,26145,10616,-1224.7,NaN,NaN,NaN,14797,52.657
108,1,26161,10625,-1249.3,NaN,NaN,NaN,20390,52.937
109,1,26144,10621,-1228.4,NaN,NaN,NaN,19060,52.945
110,1,26155,10624,-1229.8,NaN,NaN,NaN,16624,53.08
111,1,26155,10620,-1264,NaN,NaN,NaN,14657,52.686
112,1,26146,10621,-1244.8,NaN,NaN,NaN,16099,52.965
113,1,26159,10628,-1258.5,NaN,NaN,NaN,18606,52.712
114,1,26132,10615,-1236,NaN,NaN,NaN,12485,52.659
115,1,26162,10634,-1236.7,NaN,NaN,NaN,12451,53.19
116,1,26151,10633,-1222,NaN,NaN,NaN,14804,53.134
117,1,26147,10626,-1254.7,NaN,NaN,NaN,17076,52.679
118,1,26150,10621,-1200.4,NaN,NaN,NaN,12748,52.995
119,1,26155,10624,-1230.3,NaN,NaN,NaN,17738,53.023
120,1,26136,10630,-1239.3,NaN,NaN,NaN,16460,53.096
121,1,26139,10619,-1238.1,NaN,NaN,NaN,15873,52.688
122,1,26155,10633,-1259.7,NaN,NaN,NaN,15312,52.907
123,1,26149,10634,-1234.3,NaN,NaN,NaN,18177,52.982
124,1,26158,10627,-1201,NaN,NaN,NaN,12517,53.083
125,1,26133,10630,-1221.3,NaN,NaN,NaN,17232,52.727
126,1,26164,10639,-1219.9,NaN,NaN,NaN,19437,53.065
127,1,26150,10627,-1250,NaN,NaN,NaN,15465,52.968
128,1,26137,10616,-1231,NaN,NaN,NaN,14322,52.65
129,1,26149,10631,-1227.5,NaN,NaN,NaN,12976,52.584
130,1,26149,10630,-1238.6,NaN,NaN,NaN,16402,52.798
131,1,26156,10620,-1240.1,NaN,NaN,NaN,20014,53.091
132,1,26146,10618,-1246.4,NaN,NaN,NaN,23122,52.728
133,1,26151,10625,-1235.4,NaN,NaN,NaN,19341,52.798
134,1,26152,10620,-1233.6,NaN,NaN,NaN,20637,53.21
135,1,26147,10627,-1228,NaN,NaN,NaN,12862,52.696
136,1,26147,10617,-1236.5,NaN,NaN,NaN,16236,53.011
137,1,26139,10632,-1243.7,NaN,NaN,NaN,17277,53.228
138,1,26132,10623,-1237.7,NaN,NaN,NaN,20024,52.752
139,1,26156,10628,-1257.4,NaN,NaN,NaN,18394,52.794
140,1,26151,10636,-1241.8,NaN,NaN,NaN,17730,53.236
141,1,26153,10618,-1239.1,NaN,NaN,NaN,21860,53.07
142,1,26156,10618,-1258.8,NaN,NaN,NaN,18255,52.84
143,1,26151,10628,-1250.4,NaN,NaN,NaN,18030,53.267
144,1,26155,10623,-1264.5,NaN,NaN,NaN,12988,52.853
145,1,26145,10622,-1257.1,NaN,NaN,NaN,20102,52.916
146,1,26148,10622,-1250.2,NaN,NaN,NaN,20677,52.834
147,1,26143,10630,-1249.8,NaN,NaN,NaN,19167,52.841
148,1,26152,10626,-1244.8,NaN,NaN,NaN,16852,53.08
149,1,26150,10623,-1252.6,NaN,NaN,NaN,16587,53.285
150,1,26143,10624,-1260,NaN,NaN,NaN,14143,52.822
151,1,26136,10625,-1267.7,NaN,NaN,NaN,16578,52.871
152,1,26139,10622,-1256.5,NaN,NaN,NaN,16674,52.985
153,1,26153,10624,-1257.3,NaN,NaN,NaN,16082,52.841
154,1,26146,10623,-1271,NaN,NaN,NaN,21075,52.933
155,1,26151,10638,-1267.1,NaN,NaN,NaN,15678,53.344
