frames,xnm,ynm,znm,locprec,photons,background,locprecZ,probe
1,28345.38,15977.03,456.8786,61.81183,1119.524,69.2751,132.2252,0
1,24558.25,16193.44,466.1545,30.34005,3732.034,106.0102,78.71462,0
1,27444.93,16298.57,441.0114,54.85506,1449.705,77.69937,185.7045,0
1,22115.92,16453.9,381.0924,46.8128,2111.443,111.1157,104.0385,0
1,162.6804,16636.27,1523.0717,62.63538,1645.598,142.0236,148.3273,0
1,12698.27,16622.4,1729.8641,54.02187,1160.369,98.95609,141.9915,0
1,21483.05,16578.73,1153.97149,45.79166,1570.855,116.0553,86.91341,0
1,24712.36,16550.74,2198.5292,43.92464,3991.442,110.4855,62.60519,0
1,25423.26,16607.02,405.4787,55.2681,3033.381,104.4687,98.61945,0
1,27687.51,16780.12,2168.9012,69.98425,1499.427,76.88195,149.5295,0
1,10241.94,16930.05,1898.4921,12.05247,7435.487,97.04075,23.41596,0
1,13009.87,16886.26,1941.4579,40.4139,1598.112,104.5908,187.719,0
1,23931.83,16874.55,2193.7561,40.46695,2581.552,116.1872,84.78239,0
1,24637.8,16935.14,471.4018,46.05258,2373.363,113.4485,125.6374,0
1,28049.23,16951.2,730.3596,68.11009,1186.656,74.67632,322.4786,0
1,26021.11,16993.22,230.413,50.58376,3593.927,96.52264,73.80254,0
1,25560.33,17227.36,2002.4752,35.86269,4833.221,110.0655,276.233,0
1,27607.71,17249.34,561.9237,64.88618,1444.241,75.64829,217.6578,0
1,419.3096,17377.15,332.7009,58.4044,2380.572,145.9094,118.2694,0
1,16125.72,17434.44,1049.5337,40.63013,1530.08,111.5064,66.51303,0
1,17217.37,17419.85,849.8986,49.75806,1388.619,111.0985,75.3644,0
1,30067.79,17342.04,1746.8502,49.7422,683.658,58.51101,104.0041,0
1,9853.165,17601.57,1370.7037,38.45464,2985.308,104.846,69.542,0
1,25444.27,17538.07,526.9588,47.05,4501.988,111.6241,107.6693,0
1,9049.144,17681.49,305.2393,54.77235,2215.788,106.5717,83.82594,0
1,12826.09,17747.17,1133.445,45.65376,1422.6,104.2225,88.50949,0
1,22770.42,17732.94,306.1746,25.28414,4567.582,117.133,78.20624,0
1,26326.78,17697.62,1563.6326,42.03438,2909.954,102.2009,96.19599,0
1,575.1199,17835.83,1918.5647,50.9652,1615.855,144.6469,137.5637,0
1,27697.2,17873.1,2063.5418,50.57564,1366.861,74.4092,160.6884,0
1,10263.46,18113.32,268.8204,56.7597,4339.221,104.0744,68.58589,0
1,19014.74,18092.46,955.1664,40.81874,1272.308,113.7391,72.60644,0
1,26003.57,18061.96,892.233,25.54041,5358.459,104.2178,57.13676,0
1,164.56997,18210.46,517.4282,87.46738,2101.117,148.9929,189.6298,0
1,9956.046,18121.34,1752.8894,9.205763,10334.08,102.4794,20.14371,0
1,21142.4,18172.93,382.7722,39.39241,2068.002,115.2483,96.50361,0
1,15971.05,18413.87,1569.5379,45.23923,1023.669,109.873,85.77822,0
1,22878.7,18286.99,1167.84594,47.12016,2429.196,123.9763,121.046,0
1,24396.35,18376.6,1931.8994,51.41048,1758.425,123.5921,143.8011,0
1,26450.84,18310.64,493.9087,42.14965,2977.673,89.56345,106.7756,0
1,895.5925,18514.27,261.667,55.66343,2317.012,142.2602,69.74137,0
1,12449.93,18448.16,195.482,46.43595,2523.022,110.5379,108.2252,0
1,18003.32,18503.09,308.6046,57.10865,1982.947,109.759,87.18633,0
1,23812.92,18498.61,2125.3856,59.54309,2053.363,122.3124,110.5984,0
1,24125.54,18529.68,2124.5827,60.98003,1999.977,125.1686,93.30858,0
1,168.83308,18657.85,1276.41369,75.94279,1819.067,143.9283,256.9449,0
1,17060.48,18657.81,1187.76501,48.19161,1287.398,110.4529,98.39079,0
1,12652.72,18806.41,2146.8655,46.4228,3137.761,105.7763,100.1621,0
1,18971.26,18806.83,627.1776,48.7328,2317.413,114.4294,161.131,0
1,22599.01,18806.2,351.2238,65.80942,2436.198,118.5022,108.2794,0
1,24642.35,18808.15,414.6444,65.88037,2184.179,120.0078,111.3722,0
1,25112.81,18874.86,363.5681,35.58327,4213.164,113.3545,85.83055,0
1,1015.8169,18968.99,2140.9585,61.4696,1675.144,141.2894,126.7915,0
1,21319.17,18951.96,1085.9827,42.93721,1903.493,121.9617,77.45855,0
1,27420.82,18944.61,582.1176,65.66647,2070.694,82.12028,364.5757,0
1,11548.58,19161.8,717.8864,39.98508,4092.536,101.4821,56.77154,0
1,15332.23,19099.2,2176.8651,47.7984,1626.386,106.5184,81.8739,0
1,18981.79,19163.94,1174.82832,46.41499,1988.667,116.0089,133.9698,0
1,13924.68,19251.2,321.7362,43.94942,2020.285,100.0813,110.9543,0
1,21440.42,19283.93,1106.2003,54.98673,1590.817,120.598,114.7421,0
1,23212.01,19311.76,744.0495,49.59901,2193.911,122.2615,132.0176,0
1,348.8242,19485.39,970.7107,88.18472,1567.179,147.6341,545.522,0
1,10117.181,19448.21,1947.0752,23.19032,7470.352,103.5058,49.63358,0
1,11124.89,19417.76,1756.2528,40.59796,4423.957,107.0352,119.1833,0
1,23511.61,19397.1,661.9818,46.66872,2302.178,121.3318,119.0668,0
1,24899.46,19432.25,1070.9877,56.6655,1679.135,117.3762,127.0361,0
1,9705.134,19641.37,1463.181,35.75987,3260.065,114.0437,52.16926,0
1,27751.07,19628.68,705.0639,53.54469,1937.326,73.53094,168.2956,0
1,30630.69,19638,513.049,34.78117,1179.841,52.59244,61.64208,0
1,395.2637,19763.61,1554.4538,54.46727,1815.769,146.8341,146.9973,0
1,901.9537,19783.37,572.6635,72.06509,1707.914,143.1454,160.5504,0
1,9132.451,19756.69,342.4444,50.00983,2480.64,112.008,82.80015,0
1,18507.57,19793.79,1372.146,48.15315,1781.162,113.7769,94.3818,0
1,10431.04,19910.64,2215.5315,17.28644,3373.096,103.4879,45.05326,0
1,14245.08,19937.86,1746.8933,52.02581,867.7991,105.1,85.03297,0
1,20826.22,19949.43,1690.5503,36.19105,1875.545,121.7066,74.12724,0
1,24472.91,19899.43,195.774,49.32994,2956.066,122.2671,55.11325,0
1,25514.84,19914.5,2099.7371,57.02738,3064.435,99.13016,154.3207,0
1,11947.14,20040.56,404.9367,44.7373,3252.632,106.9638,102.9935,0
1,18636.78,20023.75,713.2138,49.85986,2264.352,110.5156,87.50906,0
1,24998.55,20025.06,322.8897,55.27995,1817.056,112.3617,104.791,0
1,26660.34,20093.43,2043.4392,44.27744,2317.173,89.60014,118.513,0
1,27424.95,20083.83,626.4096,50.1244,2254.424,77.33798,105.9854,0
1,1513.034,20254.13,355.2208,54.80889,1610.663,135.928,159.4099,0
1,10918.72,20218.32,2229.2947,45.60306,3448.713,110.9972,85.43398,0
1,25224.09,20289.3,2104.8596,53.08625,2846.945,111.2163,128.4404,0
1,1138.094,20426.04,2171.3928,58.58985,1886.694,143.9329,155.9895,0
1,17410.74,20374.35,323.6678,53.21468,2061.225,106.5513,91.29765,0
1,19437.53,20452.58,2062.4618,52.3727,2462.66,119.6118,111.9267,0
1,20082.53,20421.74,555.3128,43.09769,3152.823,119.7459,65.88405,0
1,147.79589,20636.24,1551.9555,50.21567,2513.188,149.0752,95.70303,0
1,16969.78,20608.96,1098.2124,41.94097,1334.726,108.2074,81.38229,0
1,25302.08,20571.04,1724.3296,41.37856,2743.383,109.1226,130.4806,0
1,17494.23,20721.22,2022.2635,60.60785,1727.35,108.5293,324.8405,0
1,24750.96,20722.46,1889.7708,44.19747,3070.095,117.3041,76.89335,0
1,27010.76,20726.82,342.1067,59.7793,1774.109,81.35853,97.89485,0
1,28165.7,20738.08,2045.4014,57.56645,1837.828,70.42973,111.4564,0
1,10328.36,20942.48,319.9329,41.75911,6629.716,114.2778,80.95283,0
1,20830.57,20877.46,254.2855,55.29098,2388.332,117.691,83.92889,0
1,343.6002,21031.21,675.3336,66.63427,1922.576,144.2491,139.5677,0
1,11241.74,21037.37,2185.6151,44.02616,3812.205,107.0224,97.09174,0
1,27726.73,21073.4,1752.0471,49.49367,1713.512,77.56591,111.4839,0
1,10043.37,21174.38,1016.0496,51.00966,3026.174,114.1268,160.8034,0
1,21968.35,21204.79,256.8399,61.03153,1717.534,119.174,91.08962,0
1,23017.63,21230.12,1711.725,37.9938,1460.447,115.3592,91.05745,0
1,25647.22,21223.02,195.909,9.799144,15120.14,105.3981,38.3271,0
1,31368.32,21370.12,637.2143,51.52627,678.869,49.55529,108.5974,0
1,149.87267,21476.29,846.0193,64.9959,2520.572,148.411,145.3997,0
1,17235.8,21511.08,990.8387,54.14563,1203.31,110.5402,85.3109,0
1,21025.6,21539.04,633.4001,50.26537,1590.555,119.6242,139.7576,0
1,25923.24,21516.1,2249.8942,51.94635,2998.561,90.42584,77.11071,0
1,1216.39,21665.76,400.7696,65.1027,1753.752,143.3513,153.0467,0
1,10212.92,21636.99,332.118,46.87268,3964.223,116.2218,104.1062,0
1,11915.6,21672.48,217.557,61.39648,2745.176,101.1215,80.04929,0
1,12787.08,21647.84,1945.004,42.42016,1570.104,98.06883,100.8316,0
1,17696.79,21676.09,1719.6586,55.43264,1120.272,104.1835,158.8668,0
1,18025.38,21723.72,850.5121,55.67504,1314.609,104.7375,150.4975,0
1,25109.3,21600.07,321.3957,20.63858,5158.717,103.998,65.35596,0
1,27103.12,21699.14,1974.749,44.34092,1916.285,82.29587,84.77407,0
1,753.4066,21876.39,549.8842,57.82155,1733.633,144.7768,182.5722,0
1,20651.66,21792.17,1231.89508,46.42975,1244.629,118.6461,95.13784,0
1,17858.37,21982.54,529.048,51.61941,1619.864,105.757,174.5843,0
1,10603.36,22116.99,2097.1188,13.35411,11160.01,119.0332,33.69416,0
1,30092.83,22149.03,814.142,44.81865,810.0289,55.91416,76.2571,0
1,369.0196,22335.98,809.3901,63.74721,1717.878,145.7742,360.3832,0
1,1354.861,22285.55,1792.3191,62.16525,1946.888,143.5413,445.48,0
1,21636.58,22378.32,951.5731,48.32146,1261.121,118.2873,82.64494,0
1,22839.28,22338.47,1462.4936,50.27687,1126.54,111.2372,99.07014,0
1,10536.4,22421.31,415.9243,54.61263,3025.254,115.3462,99.23975,0
1,7196.933,22614.34,403.312,45.89048,1380.958,116.3575,192.2139,0
1,10574.73,22786.31,737.5077,38.12539,3461.641,111.9599,56.58643,0
